CMPCODE|CUSTID|DOCTYPE|DOCSUBTYPE|DOCNUM|SOURCESYS|INVOICEREF|GLACCT|DOCDATE|POSTDATE|K84DATE|CLEARDATE|DOCDESC|XACTREF|CUSTREF|EXTREF5|DOCCURR|HOMECURR|DUALCURR|NORMCURR|ORGVAL_DOC|ORGVAL_HOME|ORGVAL_DUAL|ORGVAL_NORM|OPENVAL_DOC|OPENVAL_HOME|OPENVAL_DUAL|OPENVAL_NORM
C310|349675100|SALE-INV-CDN|INV|22243973|LOCUS|426250454|112111|2016-03-04|2016-03-05||||10827911711353|C102016206||CAD|CAD|USD|USD|6.52|6.52|5.09|5.09|6.52|6.52|5.09|5.09
C310|364449010|SALE-INV-CDN|INV|22241502|LOCUS|426256667|112111|2016-03-04|2016-03-05||||10827686855291|DFW97883446||CAD|CAD|USD|USD|73.5|73.5|58.57|58.57|73.5|73.5|58.57|58.57
C310|165548010|SALE-INV-CDN|INV|22243636|LOCUS|410750048|112111|2016-03-04|2016-03-05||||10827911823860|114457007071||CAD|CAD|USD|USD|11.38|11.38|8.89|8.89|11.38|11.38|8.89|8.89
C310|165548010|SALE-INV-CDN|INV|22243641|LOCUS|410750065|112111|2016-03-04|2016-03-05||||10827911824020|114456982270||CAD|CAD|USD|USD|2.46|2.46|1.92|1.92|2.46|2.46|1.92|1.92
C310|115437010|SALE-INV-CDN|INV|22239911|LOCUS|515997760|112111|2016-03-04|2016-03-05||||10827690081419|8001343702||CAD|CAD||USD|539.89|539.89||402.69|539.89|539.89||402.69
C310|349675100|SALE-INV-CDN|INV|22243911|LOCUS|426248832|112111|2016-03-04|2016-03-05||||10827911681836|C101947625||CAD|CAD|USD|USD|7.83|7.83|6.12|6.12|7.83|7.83|6.12|6.12
C310|272711400|SALE-INV-CDN|INV|22247836|LOCUS|410751305|112111|2016-03-04|2016-03-05||||10827911830687|0409467532||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|272711400|SALE-INV-CDN|INV|22247856|LOCUS|410751328|112111|2016-03-04|2016-03-05||||10827911830881|0409467807||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|165548010|SALE-INV-CDN|INV|22243634|LOCUS|410750045|112111|2016-03-04|2016-03-05||||10827911823848|114457005411||CAD|CAD|USD|USD|1.84|1.84|1.44|1.44|1.84|1.84|1.44|1.44
C310|161256050|SALE-INV-CDN|INV|22236977|LOCUS|842308971|112111|2016-03-04|2016-03-05||||10827690000477|228646||CAD|CAD||USD|13.76|13.76||10.26|13.76|13.76||10.26
C310|303358010|SALE-INV-CDN|INV|22237812|LOCUS|842310592|112111|2016-03-04|2016-03-05||||10827690211973|DE998131||CAD|CAD||USD|1185.64|1185.64||884.34|1185.64|1185.64||884.34
C310|322028060|SALE-INV-CDN|INV|22238428|LOCUS|830362597|112111|2016-03-04|2016-03-05||||10827690455444|70104620||CAD|CAD||USD|768.54|768.54||573.24|768.54|768.54||573.24
C310|281864030|SALE-INV-CDN|INV|22246822|LOCUS|515997385|112111|2016-03-04|2016-03-05||||10827690054290|3379938HOU||CAD|CAD||USD|343.05|343.05||255.87|343.05|343.05||255.87
C310|329010010|SALE-INV-CDN|INV|22237791|LOCUS|839489161|112111|2016-03-04|2016-03-05||||10827690271976|0049624193||CAD|CAD||USD|414.96|414.96||309.51|414.96|414.96||309.51
C310|272711400|SALE-INV-CDN|INV|22247853|LOCUS|410751324|112111|2016-03-04|2016-03-05||||10827911830858|0409467786||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|165548010|SALE-INV-CDN|INV|22243631|LOCUS|410750040|112111|2016-03-04|2016-03-05||||10827911823804|114456999155||CAD|CAD|USD|USD|2.48|2.48|1.94|1.94|2.48|2.48|1.94|1.94
C310|160052010|SALE-INV-CDN|INV|22244582|LOCUS|245472547|112111|2016-03-04|2016-03-05||||10827690672711|2221462||CAD|CAD||USD|28.31|28.31||21.12|28.31|28.31||21.12
C310|227800010|SALE-INV-CDN|INV|22241101|LOCUS|310014667|112111|2016-03-04|2016-03-05||||10827689315772|10231515||CAD|CAD||USD|21.03|21.03||15.69|21.03|21.03||15.69
C310|165548010|SALE-INV-CDN|INV|22242899|LOCUS|410735332|112111|2016-03-04|2016-03-05||||10827911701987|114456543815||CAD|CAD|USD|USD|6.27|6.27|4.9|4.9|6.27|6.27|4.9|4.9
C310|165548010|SALE-INV-CDN|INV|22242906|LOCUS|410735342|112111|2016-03-04|2016-03-05||||10827911702078|114456536787||CAD|CAD|USD|USD|1.16|1.16|0.91|0.91|1.16|1.16|0.91|0.91
C310|368558010|SALE-INV-CDN|INV|22243741|LOCUS|410739985|112111|2016-03-04|2016-03-05||||10827911740917|601022584085||CAD|CAD|USD|USD|11.9|11.9|9.3|9.3|11.9|11.9|9.3|9.3
C310|349675100|SALE-INV-CDN|INV|22243929|LOCUS|426250408|112111|2016-03-04|2016-03-05||||10827911710900|C102040219||CAD|CAD|USD|USD|14.79|14.79|11.55|11.55|14.79|14.79|11.55|11.55
C165|336397010|SALE-INV-CDN|INV|707254|LOCUS|842309045|112111|2016-03-04|2016-03-05||||10827689841381|15157||CAD|CAD||USD|8007.39|8007.39||5972.54|8007.39|8007.39||5972.54
C310|272711400|SALE-INV-CDN|INV|22247828|LOCUS|410751297|112111|2016-03-04|2016-03-05||||10827911830610|0409467389||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|279690020|SALE-INV-CDN|INV|22245637|LOCUS|451369619|112111|2016-03-04|2016-03-05||||10827690660283|61697||CAD|CAD||USD|22.09|22.09||16.48|22.09|22.09||16.48
C310|155376010|SALE-INV-CDN|INV|22244416|LOCUS|235772898|112111|2016-03-04|2016-03-05||||10827690372411|3847M1579||CAD|CAD||USD|1613.92|1613.92||1203.79|1613.92|1613.92||1203.79
C310|329010010|SALE-INV-CDN|INV|22237794|LOCUS|839489179|112111|2016-03-04|2016-03-05||||10827911764745|0049624753||CAD|CAD||USD|414.31|414.31||309.03|414.31|414.31||309.03
C310|165548010|SALE-INV-CDN|INV|22242775|LOCUS|410733184|112111|2016-03-04|2016-03-05||||10827911687661|114456482480||CAD|CAD|USD|USD|16.5|16.5|12.89|12.89|16.5|16.5|12.89|12.89
C310|137970170|SALE-INV-CDN|INV|22241867|LOCUS|458842478|112111|2016-03-04|2016-03-05||||10827911809566|1098658106||CAD|CAD||USD|18.65|18.65||13.91|18.65|18.65||13.91
C310|118154010|SALE-INV-CDN|INV|22243956|LOCUS|235758561|112111|2016-03-04|2016-03-05||||10827679285902|C09793408||CAD|CAD||USD|8.42|8.42||6.28|8.42|8.42||6.28
C310|349675100|SALE-INV-CDN|INV|22243959|LOCUS|426250438|112111|2016-03-04|2016-03-05||||10827911711206|C102010234||CAD|CAD|USD|USD|6.97|6.97|5.45|5.45|6.97|6.97|5.45|5.45
C310|151906030|SALE-INV-CDN|INV|22245635|LOCUS|310021490|112111|2016-03-04|2016-03-05||||10827689880458|DAL36246||CAD|CAD||USD|37.88|37.88||28.25|37.88|37.88||28.25
C310|349675100|SALE-INV-CDN|INV|22243925|LOCUS|426250404|112111|2016-03-04|2016-03-05||||10827911710864|C102009585||CAD|CAD|USD|USD|10.81|10.81|8.45|8.45|10.81|10.81|8.45|8.45
U125|959718001|SALE-INV-USD|INV|6798466|SmartBorder|138538858|112121|2016-03-04|2016-03-05||||30071115413|470686||USD|USD|CAD|USD|20.3|20.3|28.32|20.3|20.3|20.3|28.32|20.3
U125|946365001|SALE-INV-USD|INV|6798470|SmartBorder|138538860|112121|2016-03-04|2016-03-05||||30071001381|53219||USD|USD||USD|43.45|43.45||43.45|43.45|43.45||43.45
C165|331877040|SALE-INV-CDN|INV|707223|LOCUS|842310551|112111|2016-03-04|2016-03-05||||10827173222274|422470||CAD|CAD||USD|315.19|315.19||235.09|315.19|315.19||235.09
C165|332263010|SALE-INV-CDN|INV|706979|LOCUS|451367877|112111|2016-03-04|2016-03-05||||10827690547024|54663494||CAD|CAD||USD|683.14|683.14||509.54|683.14|683.14||509.54
C310|273045010|SALE-INV-CDN|INV|22247389|LOCUS|310028004|112111|2016-03-04|2016-03-05||||10827911792534|6100142665||CAD|CAD|USD|USD|24.34|24.34|19.02|19.02|24.34|24.34|19.02|19.02
C310|165548010|SALE-INV-CDN|INV|22242770|LOCUS|410733167|112111|2016-03-04|2016-03-05||||10827911687503|114456479008||CAD|CAD|USD|USD|2.67|2.67|2.09|2.09|2.67|2.67|2.09|2.09
C310|207362050|SALE-INV-CDN|INV|22244345|LOCUS|410744646|112111|2016-03-04|2016-03-05||||10827690381354|CNRU240344||CAD|CAD||USD|2720.43|2720.43||2029.11|2720.43|2720.43||2029.11
C310|314438135|SALE-INV-CDN|INV|22238219|LOCUS|815819251|112111|2016-03-04|2016-03-05||||10827961209042|K ROWAN||CAD|CAD||USD|36.55|36.55||27.26|36.55|36.55||27.26
C310|227800010|SALE-INV-CDN|INV|22241134|LOCUS|310020513|112111|2016-03-04|2016-03-05||||10827689796865|10233069||CAD|CAD||USD|23.74|23.74||17.71|23.74|23.74||17.71
U125|912335001|SALE-INV-USD|INV|6798447|SmartBorder|138538830|112121|2016-03-04|2016-03-05||||30075445055|7251376||USD|USD||USD|46.2|46.2||46.2|46.2|46.2||46.2
C310|272711400|SALE-INV-CDN|INV|22247820|LOCUS|410751290|112111|2016-03-04|2016-03-05||||10827911830541|0409467155||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|349675100|SALE-INV-CDN|INV|22243953|LOCUS|426250432|112111|2016-03-04|2016-03-05||||10827911711148|C102036235||CAD|CAD|USD|USD|10.29|10.29|8.04|8.04|10.29|10.29|8.04|8.04
C310|115712020|SALE-INV-CDN|INV|22243945|LOCUS|235773006|112111|2016-03-04|2016-03-05||||10827690451439|B89058||CAD|CAD||USD|850.26|850.26||634.19|850.26|850.26||634.19
C310|349675100|SALE-INV-CDN|INV|22243947|LOCUS|426250425|112111|2016-03-04|2016-03-05||||10827911711079|C102034826||CAD|CAD|USD|USD|12.16|12.16|9.5|9.5|12.16|12.16|9.5|9.5
U125|953393001|SALE-INV-USD|INV|6797790|SmartBorder|138539164|112121|2016-03-04|2016-03-05||||30071119720|4100495774||USD|USD||USD|18.9|18.9||18.9|18.9|18.9||18.9
C310|341710005|SALE-INV-CDN|INV|22236775|LOCUS|615950124|112111|2016-03-04|2016-03-05||||10827690338613|2005036||CAD|CAD||USD|1540.38|1540.38||1148.94|1540.38|1540.38||1148.94
C310|160624005|SALE-INV-CDN|INV|22236818|LOCUS|727341648|112111|2016-03-04|2016-03-05||||10827690308070|46005226||CAD|CAD||USD|32.82|32.82||24.48|32.82|32.82||24.48
U125|944288001|SALE-INV-USD|INV|6798580|SmartBorder|138538993|112121|2016-03-04|2016-03-05||||30071117401|QRAMP INV 364 B||USD|USD|CAD|USD|18.25|18.25|25.46|18.25|18.25|18.25|25.46|18.25
U125|950396001|SALE-INV-USD|INV|6798438|SmartBorder|138538819|112121|2016-03-04|2016-03-05||||30071114119|44286||USD|USD|CAD|USD|32|32|44.64|32|32|32|44.64|32
C310|358207010|SALE-INV-CDN|INV|22235731|LOCUS|842314057|112111|2016-03-04|2016-03-05||||10827690662991|13691||CAD|CAD||USD|407.88|407.88||304.23|407.88|407.88||304.23
C310|207452045|SALE-INV-CDN|INV|22235739|LOCUS|235772049|112111|2016-03-04|2016-03-05||||10827689739536|852392||CAD|CAD|USD|USD|36.93|36.93|29.43|29.43|36.93|36.93|29.43|29.43
C310|368558010|SALE-INV-CDN|INV|22243700|LOCUS|410731786|112111|2016-03-04|2016-03-05||||10827911680642|601022498481||CAD|CAD|USD|USD|3.02|3.02|2.36|2.36|3.02|3.02|2.36|2.36
U125|900237001|SALE-INV-USD|INV|6797925|SmartBorder|138538197|112121|2016-03-04|2016-03-05||||30071108582|342157||USD|USD||USD|10|10||10|10|10||10
U125|696169001|SALE-INV-USD|INV|6798875|SmartBorder|138538225|112121|2016-03-04|2016-03-05||||30071108509|25712521||USD|USD||USD|35.4|35.4||35.4|35.4|35.4||35.4
C310|137095020|SALE-INV-CDN|INV|22240846|LOCUS|515994594|112111|2016-03-04|2016-03-05||||10827689624479|0081292269||CAD|CAD|USD|USD|8.4|8.4|6.54|6.54|8.4|8.4|6.54|6.54
C310|227800003|SALE-INV-CDN|INV|22242271|LOCUS|815813487|112111|2016-03-04|2016-03-05||||10827689873051|10233698||CAD|CAD||USD|74.8|74.8||55.79|74.8|74.8||55.79
C310|273045010|SALE-INV-CDN|INV|22247383|LOCUS|310026142|112111|2016-03-04|2016-03-05||||10827911763301|CR9538070A||CAD|CAD|USD|USD|24.34|24.34|19.02|19.02|24.34|24.34|19.02|19.02
C310|227800010|SALE-INV-CDN|INV|22242276|LOCUS|815814065|112111|2016-03-04|2016-03-05||||10827689970059|10233830||CAD|CAD||USD|23.52|23.52||17.54|23.52|23.52||17.54
C310|160624005|SALE-INV-CDN|INV|22236814|LOCUS|727340879|112111|2016-03-04|2016-03-05||||10827689995935|55404752||CAD|CAD||USD|32.82|32.82||24.48|32.82|32.82||24.48
C310|130078010|SALE-INV-CDN|INV|22238829|LOCUS|320852003|112111|2016-03-04|2016-03-05||||10827690426961|T16258||CAD|CAD||USD|2306.01|2306.01||1720|2306.01|2306.01||1720
C310|225952010|SALE-INV-CDN|INV|22239688|LOCUS|451362291|112111|2016-03-04|2016-03-05||||10827690240661|42059||CAD|CAD||USD|768.21|768.21||572.99|768.21|768.21||572.99
C310|165548010|SALE-INV-CDN|INV|22242851|LOCUS|410734153|112111|2016-03-04|2016-03-05||||10827911694637|114456509750||CAD|CAD|USD|USD|6.84|6.84|5.34|5.34|6.84|6.84|5.34|5.34
C310|368558010|SALE-INV-CDN|INV|22243693|LOCUS|410724939|112111|2016-03-04|2016-03-05||||10827911613172|601022475321||CAD|CAD|USD|USD|13.4|13.4|10.47|10.47|13.4|13.4|10.47|10.47
C310|162995010|SALE-INV-CDN|INV|22244328|LOCUS|410752786|112111|2016-03-04|2016-03-05||||10827961163743|NA||CAD|CAD|USD|USD|153.78|153.78|122.53|122.53|153.78|153.78|122.53|122.53
C310|166239010|SALE-INV-CDN|INV|22239659|LOCUS|451364162|112111|2016-03-04|2016-03-05||||10827690348659|7172145||CAD|CAD||USD|205.63|205.63||153.38|205.63|205.63||153.38
C310|227800010|SALE-INV-CDN|INV|22241108|LOCUS|310019560|112111|2016-03-04|2016-03-05||||10827689351540|10214250||CAD|CAD||USD|23|23||17.16|23|23||17.16
C310|347941010|SALE-INV-CDN|INV|22236954|LOCUS|839489471|112111|2016-03-04|2016-03-05||||10827690650258|ORDER 1603077 C||CAD|CAD|USD|USD|136.57|136.57|108.82|108.82|136.57|136.57|108.82|108.82
C310|200749050|SALE-INV-CDN|INV|22247616|LOCUS|410731239|112111|2016-03-04|2016-03-05||||10827175721967|CAT160204P||CAD|CAD||USD|16.84|16.84||12.56|16.84|16.84||12.56
C310|227800010|SALE-INV-CDN|INV|22242265|LOCUS|815812697|112111|2016-03-04|2016-03-05||||10827689764823|10226838||CAD|CAD||USD|92.99|92.99||69.36|92.99|92.99||69.36
C310|227800010|SALE-INV-CDN|INV|22242268|LOCUS|815813483|112111|2016-03-04|2016-03-05||||10827689872891|10233571||CAD|CAD||USD|20.76|20.76||15.48|20.76|20.76||15.48
C310|286363050|SALE-INV-CDN|INV|22240961|LOCUS|449445241|112111|2016-03-04|2016-03-05||||10827172541256|2058991||CAD|CAD||USD|1285.87|1285.87||959.1|1285.87|1285.87||959.1
U125|947879001|SALE-INV-USD|INV|6798544|SmartBorder|138538951|112121|2016-03-04|2016-03-05||||30071116841|143219||USD|USD|CAD|USD|12.75|12.75|17.79|12.75|12.75|12.75|17.79|12.75
C310|135220010|SALE-INV-CDN|INV|22236502|LOCUS|515000215|112111|2016-03-04|2016-03-05||||10827690459778|0000||CAD|CAD||USD|145.57|145.57||108.58|145.57|145.57||108.58
C310|227800010|SALE-INV-CDN|INV|22242257|LOCUS|815811356|112111|2016-03-04|2016-03-05||||10827689499433|10229737||CAD|CAD||USD|40.35|40.35||30.1|40.35|40.35||30.1
C310|117626010|SALE-INV-CDN|INV|22239516|LOCUS|451370014|112111|2016-03-04|2016-03-05||||10827690691587|57366||CAD|CAD||USD|118.58|118.58||88.45|118.58|118.58||88.45
C310|310722060|SALE-INV-CDN|INV|22236953|LOCUS|839488999|112111|2016-03-04|2016-03-05||||10827690065818|794215005||CAD|CAD||USD|652.84|652.84||486.94|652.84|652.84||486.94
U125|961359001|SALE-INV-USD|INV|6797891|SmartBorder|138538158|112121|2016-03-04|2016-03-05||||30071037302|||USD|USD||USD|135.35|135.35||135.35|135.35|135.35||135.35
U125|921294001|SALE-INV-USD|INV|6797893|SmartBorder|138538161|112121|2016-03-04|2016-03-05||||30075442813|PHYFMA0542799||USD|USD||USD|44.11|44.11||44.11|44.11|44.11||44.11
U125|954196001|SALE-INV-USD|INV|6797915|SmartBorder|138538183|112121|2016-03-04|2016-03-05||||30071019722|20160222||USD|USD||USD|41.6|41.6||41.6|41.6|41.6||41.6
C310|363247010|SALE-INV-CDN|INV|22238479|LOCUS|839489132|112111|2016-03-04|2016-03-05||||10827690220703|AB216042||CAD|CAD|USD|USD|22214.12|22214.12|17354.78|17354.78|22214.12|22214.12|17354.78|17354.78
C310|202662020|SALE-INV-CDN|INV|22246165|LOCUS|458846430|112111|2016-03-04|2016-03-05||||10827690652352|26315881||CAD|CAD||USD|848.48|848.48||632.86|848.48|848.48||632.86
C310|152047010|SALE-INV-CDN|INV|22247299|LOCUS|842242558|112111|2016-03-04|2016-03-05||||10827681274787|4503014930||CAD|CAD||USD|15675.4|15675.4||11691.95|15675.4|15675.4||11691.95
C310|161543160|SALE-INV-CDN|INV|22236940|LOCUS|830362350|112111|2016-03-04|2016-03-05||||10827690084979|03626732||CAD|CAD||USD|31.56|31.56||23.54|31.56|31.56||23.54
C310|349675100|SALE-INV-CDN|INV|22243850|LOCUS|426247765|112111|2016-03-04|2016-03-05||||10827911614834|C101914802||CAD|CAD|USD|USD|12.51|12.51|9.77|9.77|12.51|12.51|9.77|9.77
C310|272711400|SALE-INV-CDN|INV|22247865|LOCUS|410751337|112111|2016-03-04|2016-03-05||||10827911830972|0625162625||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|272711400|SALE-INV-CDN|INV|22247866|LOCUS|410751338|112111|2016-03-04|2016-03-05||||10827911830983|0625162905||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
C310|273045010|SALE-INV-CDN|INV|22247973|LOCUS|410733569|112111|2016-03-04|2016-03-05||||10827911690768|CR9532913A||CAD|CAD|USD|USD|23.92|23.92|18.69|18.69|23.92|23.92|18.69|18.69
U125|692922001|SALE-INV-USD|INV|6798909|SmartBorder|138537981|112121|2016-03-04|2016-03-05||||30071105372|0082161559||USD|USD||USD|32.55|32.55||32.55|32.55|32.55||32.55
U125|900237001|SALE-INV-USD|INV|6798648|SmartBorder|138539066|112121|2016-03-04|2016-03-05||||30071118201|342035||USD|USD||USD|10|10||10|10|10||10
C310|138418010|SALE-INV-CDN|INV|22237732|LOCUS|727340904|112111|2016-03-04|2016-03-05||||10827689975624|4503517076||CAD|CAD||USD|120.17|120.17||89.63|120.17|120.17||89.63
U125|907245001|SALE-INV-USD|INB|6798399|SmartBorder|138515982|112121|2016-03-04|2016-03-05||||30075371657|FEBRUARY 10 2016||USD|USD||USD|156.34|156.34||156.34|156.34|156.34||156.34
C310|157441010|SALE-INV-CDN|INV|22240656|LOCUS|458823557|112111|2016-03-04|2016-03-05||||10827689751167|6621||CAD|CAD||USD|87.43|87.43||65.21|87.43|87.43||65.21
C165|333515060|SALE-INV-CDN|INV|707240|LOCUS|515000886|112111|2016-03-04|2016-03-05||||10827690530764|45001315CW||CAD|CAD||USD|87.09|87.09||64.96|87.09|87.09||64.96
C310|273045010|SALE-INV-CDN|INV|22247374|LOCUS|310023619|112111|2016-03-04|2016-03-05||||10827911723790|CR9535618A||CAD|CAD|USD|USD|24.34|24.34|19.02|19.02|24.34|24.34|19.02|19.02
C310|140634010|SALE-INV-CDN|INV|22244349|LOCUS|235773095|112111|2016-03-04|2016-03-05||||10827690358696|3350343||CAD|CAD||USD|2545.85|2545.85||1898.9|2545.85|2545.85||1898.9
C310|353059010|SALE-INV-CDN|INV|22240947|LOCUS|410747841|112111|2016-03-04|2016-03-05||||20282700056005|4500090325L10||CAD|CAD||USD|2.26|2.26||1.69|2.26|2.26||1.69
C310|273045010|SALE-INV-CDN|INV|22247969|LOCUS|410733537|112111|2016-03-04|2016-03-05||||10827911690325|CR9532993A||CAD|CAD|USD|USD|23.92|23.92|18.69|18.69|23.92|23.92|18.69|18.69
C310|265738010|SALE-INV-CDN|INV|22247289|LOCUS|458844697|112111|2016-03-04|2016-03-05||||10827690557835|018540||CAD|CAD|USD|USD|3367.55|3367.55|2620.66|2620.66|3367.55|3367.55|2620.66|2620.66
C310|161543140|SALE-INV-CDN|INV|22236932|LOCUS|830362007|112111|2016-03-04|2016-03-05||||10827689633620|CHIPS||CAD|CAD||USD|31.56|31.56||23.54|31.56|31.56||23.54
U125|690068001|SALE-INV-USD|INV|6798898|SmartBorder|138538326|112121|2016-03-04|2016-03-05||||30071108798|336969||USD|USD||USD|48.9|48.9||48.9|48.9|48.9||48.9
C310|137718060|SALE-INV-CDN|INV|22235693|LOCUS|842311913|112111|2016-03-04|2016-03-05||||10827690372865|2713181||CAD|CAD|USD|USD|1352.33|1352.33|1077.55|1077.55|1352.33|1352.33|1077.55|1077.55
C165|352577010|SALE-INV-CDN|INV|707210|LOCUS|830362034|112111|2016-03-04|2016-03-05||||10827911601429|317857||CAD|CAD||USD|153.36|153.36||114.39|153.36|153.36||114.39
C310|363141010|SALE-INV-CDN|INV|22238727|LOCUS|842309927|112111|2016-03-04|2016-03-05||||10827690067694|94815||CAD|CAD||USD|400.93|400.93||299.05|400.93|400.93||299.05
C310|120792010|SALE-INV-CDN|INV|22239975|LOCUS|530605622|112111|2016-03-04|2016-03-05||||10827175580989|4591||CAD|CAD||USD|4041.16|4041.16||3014.22|4041.16|4041.16||3014.22
C310|360906010|SALE-INV-CDN|INV|22244304|LOCUS|403376059|112111|2016-03-04|2016-03-05||||45633565085885|811201||CAD|CAD||USD|7.06|7.06||5.27|7.06|7.06||5.27
C310|349675100|SALE-INV-CDN|INV|22243856|LOCUS|426247773|112111|2016-03-04|2016-03-05||||10827911614890|C101913523||CAD|CAD|USD|USD|9.62|9.62|7.52|7.52|9.62|9.62|7.52|7.52
